step,infections,symptom_onsets
0,1,0
1,0,1
2,0,0
3,0,0
4,2,0
5,0,2
6,0,0
7,0,0
8,2,0
9,0,2
10,0,0
11,2,0
12,2,2
13,1,2
14,0,1
15,3,0
16,5,3
17,3,5
18,3,3
19,4,3
20,6,4
21,8,6
22,6,8
23,13,6
24,10,13
25,14,10
26,20,14
27,24,20
28,23,24
29,29,23
30,36,29
31,41,36
32,42,41
33,48,42
34,61,48
35,77,61
36,73,77
37,100,73
38,105,100
39,137,105
40,122,137
41,151,122
42,175,151
43,180,175
44,183,180
45,180,183
46,224,180
47,220,224
48,211,220
49,178,211
50,170,178
51,194,170
52,175,194
53,138,175
54,114,138
55,98,114
56,101,98
57,74,101
58,47,74
59,41,47
60,40,41
61,38,40
62,30,38
63,21,30
64,12,21
65,12,12
66,8,12
67,10,8
68,5,10
69,5,5
70,4,5
71,2,4
72,1,2
73,2,1
74,1,2
75,0,1
76,0,0
77,0,0
78,1,0
79,0,1
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
